Date,net_strategy_return,symbol,fold,strategy
2020-01-02,0.0,AAPL,2020-01-01,long_flat
2020-01-03,-0.0097692756129717,AAPL,2020-01-01,long_flat
2020-01-06,0.0079364502423522,AAPL,2020-01-01,long_flat
2020-01-07,-0.0047138570575468,AAPL,2020-01-01,long_flat
2020-01-08,0.0159580655639115,AAPL,2020-01-01,long_flat
2020-01-09,0.0210184534245769,AAPL,2020-01-01,long_flat
2020-01-10,0.0022581673440224,AAPL,2020-01-01,long_flat
2020-01-13,0.0211394612213865,AAPL,2020-01-01,long_flat
2020-01-14,-0.0135955943870419,AAPL,2020-01-01,long_flat
2020-01-15,-0.0042945505638993,AAPL,2020-01-01,long_flat
2020-01-16,0.0124487238201486,AAPL,2020-01-01,long_flat
2020-01-17,0.0110100480058053,AAPL,2020-01-01,long_flat
2020-01-21,-0.0068000369339526,AAPL,2020-01-01,long_flat
2020-01-22,0.0035632602635525,AAPL,2020-01-01,long_flat
2020-01-23,0.0048042572239136,AAPL,2020-01-01,long_flat
2020-01-24,-0.0028861930373302,AAPL,2020-01-01,long_flat
2020-01-27,-0.0298463222385908,AAPL,2020-01-01,long_flat
2020-01-28,0.0278968474606824,AAPL,2020-01-01,long_flat
2020-01-29,0.0207160799422703,AAPL,2020-01-01,long_flat
2020-01-30,-0.0014502286209107,AAPL,2020-01-01,long_flat
2020-01-31,-0.0453514557775903,AAPL,2020-01-01,long_flat
2020-02-03,-0.0027504257383597,AAPL,2020-01-01,long_flat
2020-02-04,0.0319807442313552,AAPL,2020-01-01,long_flat
2020-02-05,-0.0005,AAPL,2020-01-01,long_flat
2020-02-06,0.0116288828017858,AAPL,2020-01-01,long_flat
2020-02-07,-0.0136859894262314,AAPL,2020-01-01,long_flat
2020-02-10,0.0047385392206053,AAPL,2020-01-01,long_flat
2020-02-11,-0.0060518454027473,AAPL,2020-01-01,long_flat
2020-02-12,0.0234702982116788,AAPL,2020-01-01,long_flat
2020-02-13,-0.007146590837111,AAPL,2020-01-01,long_flat
2020-02-14,0.0002461929473536,AAPL,2020-01-01,long_flat
2020-02-18,-0.0184802848806055,AAPL,2020-01-01,long_flat
2020-02-19,0.0143787380925044,AAPL,2020-01-01,long_flat
2020-02-20,-0.0103116466795773,AAPL,2020-01-01,long_flat
2020-02-21,-0.0228951358263996,AAPL,2020-01-01,long_flat
2020-02-24,-0.0486654608060203,AAPL,2020-01-01,long_flat
2020-02-25,-0.0344592696597348,AAPL,2020-01-01,long_flat
2020-02-26,0.0157390867033607,AAPL,2020-01-01,long_flat
2020-02-27,-0.0676026262032882,AAPL,2020-01-01,long_flat
2020-02-28,-0.0005849527913649,AAPL,2020-01-01,long_flat
2020-03-02,0.0885180353019442,AAPL,2020-01-01,long_flat
2020-03-03,-0.0005,AAPL,2020-01-01,long_flat
2020-03-04,0.0453407475593979,AAPL,2020-01-01,long_flat
2020-03-05,-0.0329744994539389,AAPL,2020-01-01,long_flat
2020-03-06,-0.0133694334311505,AAPL,2020-01-01,long_flat
2020-03-09,-0.08239509419991,AAPL,2020-01-01,long_flat
2020-03-10,0.0690459633639783,AAPL,2020-01-01,long_flat
2020-03-11,-0.0005,AAPL,2020-01-01,long_flat
2020-03-12,-0.1039776299628952,AAPL,2020-01-01,long_flat
2020-03-13,0.1126574542730058,AAPL,2020-01-01,long_flat
2020-03-16,-0.0005,AAPL,2020-01-01,long_flat
2020-03-17,0.0430311564593371,AAPL,2020-01-01,long_flat
2020-03-18,-0.0247845935143292,AAPL,2020-01-01,long_flat
2020-03-19,-0.007691505892482,AAPL,2020-01-01,long_flat
2020-03-20,-0.0655902359950123,AAPL,2020-01-01,long_flat
2020-03-23,-0.0214730340996452,AAPL,2020-01-01,long_flat
2020-03-24,0.095105733134698,AAPL,2020-01-01,long_flat
2020-03-25,-0.0005,AAPL,2020-01-01,long_flat
2020-03-26,0.0512850495791465,AAPL,2020-01-01,long_flat
2020-03-27,-0.0422833382916267,AAPL,2020-01-01,long_flat
2020-03-30,0.0281382201578724,AAPL,2020-01-01,long_flat
2020-03-31,-0.0020430765159535,AAPL,2020-01-01,long_flat
2020-04-01,-0.0545517652204068,AAPL,2020-01-01,long_flat
2020-04-02,0.0,AAPL,2020-01-01,long_flat
2020-04-03,-0.0005,AAPL,2020-01-01,long_flat
2020-04-06,0.0836401285454662,AAPL,2020-01-01,long_flat
2020-04-07,-0.0116498900494951,AAPL,2020-01-01,long_flat
2020-04-08,0.0252726566205789,AAPL,2020-01-01,long_flat
2020-04-09,0.0071899769089803,AAPL,2020-01-01,long_flat
2020-04-13,0.0194375896414577,AAPL,2020-01-01,long_flat
2020-04-14,0.0492692818409022,AAPL,2020-01-01,long_flat
2020-04-15,-0.0091694567778676,AAPL,2020-01-01,long_flat
2020-04-16,0.007914736194524,AAPL,2020-01-01,long_flat
2020-04-17,-0.0136617333926752,AAPL,2020-01-01,long_flat
2020-04-20,-0.0209750458272711,AAPL,2020-01-01,long_flat
2020-04-21,-0.0313979025876327,AAPL,2020-01-01,long_flat
2020-04-22,0.0283962812289568,AAPL,2020-01-01,long_flat
2020-04-23,-0.0038829214563202,AAPL,2020-01-01,long_flat
2020-04-24,0.0284603150398569,AAPL,2020-01-01,long_flat
2020-04-27,0.0007069580166905,AAPL,2020-01-01,long_flat
2020-04-28,-0.0163421176974966,AAPL,2020-01-01,long_flat
2020-04-29,0.0323172262339947,AAPL,2020-01-01,long_flat
2020-04-30,0.0208766858747286,AAPL,2020-01-01,long_flat
2020-05-01,-0.0162303820843017,AAPL,2020-01-01,long_flat
2020-05-04,0.014049264773159,AAPL,2020-01-01,long_flat
2020-05-05,0.0148978375433085,AAPL,2020-01-01,long_flat
2020-05-06,0.0102639013530413,AAPL,2020-01-01,long_flat
2020-05-07,0.0102918801447676,AAPL,2020-01-01,long_flat
2020-05-08,0.0235230396156308,AAPL,2020-01-01,long_flat
2020-05-11,0.0156130968274755,AAPL,2020-01-01,long_flat
2020-05-12,-0.0114944332136695,AAPL,2020-01-01,long_flat
2020-05-13,-0.0121470765887721,AAPL,2020-01-01,long_flat
2020-05-14,0.0061241594271731,AAPL,2020-01-01,long_flat
2020-05-15,-0.0059292145430471,AAPL,2020-01-01,long_flat
2020-05-18,0.0232875615101143,AAPL,2020-01-01,long_flat
2020-05-19,-0.0057951767348195,AAPL,2020-01-01,long_flat
2020-05-20,0.0192613929924033,AAPL,2020-01-01,long_flat
2020-05-21,-0.0074832703837816,AAPL,2020-01-01,long_flat
2020-05-22,0.0064177530235389,AAPL,2020-01-01,long_flat
2020-05-26,-0.0067967292500281,AAPL,2020-01-01,long_flat
2020-05-27,0.0043475482100405,AAPL,2020-01-01,long_flat
2020-05-28,0.0004398277570711,AAPL,2020-01-01,long_flat
2020-05-29,-0.0009742211683652,AAPL,2020-01-01,long_flat
2020-06-01,0.0122229950771002,AAPL,2020-01-01,long_flat
2020-06-02,0.0046187951242309,AAPL,2020-01-01,long_flat
2020-06-03,0.0054898587219615,AAPL,2020-01-01,long_flat
2020-06-04,-0.0086498653818255,AAPL,2020-01-01,long_flat
2020-06-05,0.0280832741420643,AAPL,2020-01-01,long_flat
2020-06-08,0.0058951359075312,AAPL,2020-01-01,long_flat
2020-06-09,0.0310895598760766,AAPL,2020-01-01,long_flat
2020-06-10,0.0254021110561093,AAPL,2020-01-01,long_flat
2020-06-11,-0.0497011507009574,AAPL,2020-01-01,long_flat
2020-06-12,-0.0005,AAPL,2020-01-01,long_flat
2020-06-15,0.0122911741668061,AAPL,2020-01-01,long_flat
2020-06-16,0.0261573603467421,AAPL,2020-01-01,long_flat
2020-06-17,-0.0013926823996368,AAPL,2020-01-01,long_flat
2020-06-18,0.0003980432030257,AAPL,2020-01-01,long_flat
2020-06-19,-0.0057311763266539,AAPL,2020-01-01,long_flat
2020-06-22,0.025827543373052,AAPL,2020-01-01,long_flat
2020-06-23,0.0211199077688803,AAPL,2020-01-01,long_flat
2020-06-24,-0.017809517491651,AAPL,2020-01-01,long_flat
2020-06-25,0.0131882561920232,AAPL,2020-01-01,long_flat
2020-06-26,-0.0312075113402439,AAPL,2020-01-01,long_flat
2020-06-29,0.0227851894194304,AAPL,2020-01-01,long_flat
2020-06-30,0.0083124261523466,AAPL,2020-01-01,long_flat
2020-07-01,-0.0018931041248925,AAPL,2020-01-01,long_flat
2020-07-02,0.0,AAPL,2020-01-01,long_flat
2020-07-06,0.0263986351802493,AAPL,2020-01-01,long_flat
2020-07-07,-0.0031076562351174,AAPL,2020-01-01,long_flat
2020-07-08,0.0230229407620357,AAPL,2020-01-01,long_flat
2020-07-09,0.0042913873480727,AAPL,2020-01-01,long_flat
2020-07-10,0.0017476072902238,AAPL,2020-01-01,long_flat
2020-07-13,-0.0046240912234332,AAPL,2020-01-01,long_flat
2020-07-14,0.0164132188843811,AAPL,2020-01-01,long_flat
2020-07-15,0.0068536796289719,AAPL,2020-01-01,long_flat
2020-07-16,-0.0123813239989602,AAPL,2020-01-01,long_flat
2020-07-17,-0.0020222182787969,AAPL,2020-01-01,long_flat
2020-07-20,0.0208548482907037,AAPL,2020-01-01,long_flat
2020-07-21,-0.0138976596788923,AAPL,2020-01-01,long_flat
2020-07-22,0.0028052334208815,AAPL,2020-01-01,long_flat
2020-07-23,-0.0465846960152075,AAPL,2020-01-01,long_flat
2020-07-24,-0.0029804274461751,AAPL,2020-01-01,long_flat
2020-07-27,0.0,AAPL,2020-01-01,long_flat
2020-07-28,-0.0005,AAPL,2020-01-01,long_flat
2020-07-29,0.0189869663312354,AAPL,2020-01-01,long_flat
2020-07-30,0.0120276540338877,AAPL,2020-01-01,long_flat
2020-07-31,0.0995635030388695,AAPL,2020-01-01,long_flat
2020-08-03,0.0248852569486221,AAPL,2020-01-01,long_flat
2020-08-04,0.0066561393680767,AAPL,2020-01-01,long_flat
2020-08-05,0.0036180674110818,AAPL,2020-01-01,long_flat
2020-08-06,0.034294567655239,AAPL,2020-01-01,long_flat
2020-08-07,-0.0229981689521483,AAPL,2020-01-01,long_flat
2020-08-10,0.0144299703133626,AAPL,2020-01-01,long_flat
2020-08-11,-0.0301909345845672,AAPL,2020-01-01,long_flat
2020-08-12,0.0326939107742033,AAPL,2020-01-01,long_flat
2020-08-13,0.0175427863034643,AAPL,2020-01-01,long_flat
2020-08-14,-0.0008915913867415,AAPL,2020-01-01,long_flat
2020-08-17,-0.0026143526201345,AAPL,2020-01-01,long_flat
2020-08-18,0.0082983819565218,AAPL,2020-01-01,long_flat
2020-08-19,0.0012538250085401,AAPL,2020-01-01,long_flat
2020-08-20,0.0219471900245923,AAPL,2020-01-01,long_flat
2020-08-21,0.0502484220756175,AAPL,2020-01-01,long_flat
2020-08-24,0.0118892977555494,AAPL,2020-01-01,long_flat
2020-08-25,-0.0082376014773574,AAPL,2020-01-01,long_flat
2020-08-26,0.0135075883010199,AAPL,2020-01-01,long_flat
2020-08-27,-0.0120264991774731,AAPL,2020-01-01,long_flat
2020-08-28,-0.0016211763326322,AAPL,2020-01-01,long_flat
2020-08-31,0.0333497755923766,AAPL,2020-01-01,long_flat
2020-09-01,0.0390598084455139,AAPL,2020-01-01,long_flat
2020-09-02,-0.0209361271198086,AAPL,2020-01-01,long_flat
2020-09-03,-0.0834476780526644,AAPL,2020-01-01,long_flat
2020-09-04,0.0006614701810587,AAPL,2020-01-01,long_flat
2020-09-08,-0.0696661378594385,AAPL,2020-01-01,long_flat
2020-09-09,0.0391116309390067,AAPL,2020-01-01,long_flat
2020-09-10,-0.0331904892556456,AAPL,2020-01-01,long_flat
2020-09-11,-0.0132160501621468,AAPL,2020-01-01,long_flat
2020-09-14,0.0290588554241385,AAPL,2020-01-01,long_flat
2020-09-15,-0.0005,AAPL,2020-01-01,long_flat
2020-09-16,-0.029958078910552,AAPL,2020-01-01,long_flat
2020-09-17,-0.0160924676742366,AAPL,2020-01-01,long_flat
2020-09-18,-0.0327339507981022,AAPL,2020-01-01,long_flat
