symbol,strategy,model,feature_set,threshold,folds,avg_exposure,avg_trade_count,avg_accuracy,avg_precision,avg_roc_auc,avg_sharpe_ratio,avg_sortino_ratio,avg_max_drawdown,avg_total_return
AAPL,always_long,baseline,baseline,0.0,4,1.0,0.0,0.5248497877490602,0.5248497877490602,0.5,0.9515765935720761,1.3938573102104777,-0.2382689702087489,0.35724915122649725
AAPL,long_flat,random_forest,returns_only,0.45,4,0.8866539661043386,46.25,0.5229011394037377,0.5266116768736986,0.49778333897474714,1.174957741160891,1.7070161958085996,-0.18905208178513416,0.4133402449896581
AAPL,sized_aggressive,random_forest,returns_only,0.45,4,0.7509061192022174,158.5,0.5229011394037377,0.5266116768736986,0.49778333897474714,0.9608487483347699,1.4060434464545513,-0.17581325804881512,0.27904123794001956
AAPL,sized_balanced,random_forest,returns_only,0.45,4,0.5958206029323949,188.75,0.5229011394037377,0.5266116768736986,0.49778333897474714,0.8159789671521089,1.2356790035607539,-0.15372823937800306,0.17074149847165512
AAPL,sized_linear,random_forest,returns_only,0.45,4,0.36179198297517057,245.5,0.5229011394037377,0.5266116768736986,0.49778333897474714,1.0812992526670433,1.6031206937986702,-0.08500926160234112,0.1293037774457179
AAPL,sized_near_full,random_forest,returns_only,0.45,4,0.8468650377160034,102.25,0.5229011394037377,0.5266116768736986,0.49778333897474714,1.0733711112636861,1.5250123879732644,-0.1862504933135566,0.3643296953646238
AAPL,volatility_adjusted_50,random_forest,returns_only_inverse_volatility,0.45,1,0.15614831146540145,954.0,,,,0.838457699522134,1.1629077145174405,-0.05529720440067576,0.19048238122018746
AAPL,volatility_adjusted_75,random_forest,returns_only_inverse_volatility,0.45,1,0.22033975410329526,856.0,,,,0.9074848604123019,1.274131276375164,-0.07529068247830384,0.30274104177408456
AAPL,volatility_adjusted_diversified_50,random_forest,returns_only_inverse_volatility,0.45,1,0.08844685459329027,225.0,,,,0.9889140398391152,1.400154287209439,-0.028942854071149937,0.127318778847076
AAPL,volatility_adjusted_diversified_75,random_forest,returns_only_inverse_volatility,0.45,1,0.13267028188993538,225.0,,,,0.9889140398391151,1.4001542872094386,-0.04309861579828689,0.19693374811817765
